,item_header,name,extra_info,oz,size,temperature,item_id,price_fillna
0,'Stay Cozy' 16oz Mug (Regular),'Stay Cozy' 16oz Mug,(Regular),16oz,16,,#0000#,15.0
1,*WILD GOOSE GUEST BAKERY* (4.75),*WILD GOOSE GUEST BAKERY*,(4.75),,,,#0001#,4.75
2,*WILD GOOSE GUEST BAKERY* (5),*WILD GOOSE GUEST BAKERY*,(5),,,,#0002#,0.0
3,12 Month Coffee Subscription Gift,12 Month Coffee Subscription Gift - 12 oz,,,,,#0003#,204.0
4,3 Month Coffee Subscription Gift,3 Month Coffee Subscription Gift - 12 oz,,,,,#0004#,51.0
5,Add Flavor or House Espresso (Regular),Add Flavor or House Espresso,(Regular),,,,#0005#,0.48
6,Add Rotating Single Origin Espresso (Regular),Add Rotating Single Origin Espresso,(Regular),,,,#0006#,0.94
7,Aeropress (Regular),Aeropress,(Regular),,,,#0007#,35.0
8,Almond Croissant (Regular Price),Almond Croissant,(Regular Price),,,,#0008#,4.75
9,Americano (12oz HOT),Americano,(12oz HOT),12oz,12,HOT,#0009#,3.2
10,Americano (12oz ICED),Americano,(12oz ICED),12oz,12,ICED,#0010#,3.2
11,Americano (16oz HOT (quad shot)),Americano,(16oz HOT (quad shot)),16oz,16,HOT,#0011#,3.95
12,Americano (16oz ICED),Americano,(16oz ICED),16oz,16,ICED,#0012#,3.2
13,Americano (8oz HOT),Americano,(8oz HOT),8oz,8,HOT,#0013#,3.2
14,Apple Juice (Regular Price),Apple Juice,(Regular Price),,,,#0014#,0.0
15,Apple Orchard (Cider) (12oz hot),Apple Orchard,(Cider) (12oz hot),12oz,12,hot,#0015#,4.75
16,Apple Orchard (Cider) (16oz hot),Apple Orchard,(Cider) (16oz hot),16oz,16,hot,#0016#,5.25
17,Apple Orchard (Cider) (8oz hot),Apple Orchard,(Cider) (8oz hot),8oz,8,hot,#0017#,4.5
18,Apple Orchard (Cider) (Sparkling),Apple Orchard,(Cider) (Sparkling),,,,#0018#,0.0
19,Auburn Harvest (Sweet Potato Pie Latte) (12oz hot),Auburn Harvest,(Sweet Potato Pie Latte) (12oz hot),12oz,12,hot,#0019#,5.3
20,Auburn Harvest (Sweet Potato Pie Latte) (12oz iced),Auburn Harvest,(Sweet Potato Pie Latte) (12oz iced),12oz,12,iced,#0020#,5.55
21,Auburn Harvest (Sweet Potato Pie Latte) (16oz HOT ONLY),Auburn Harvest,(Sweet Potato Pie Latte) (16oz HOT ONLY),16oz,16,HOT,#0021#,6.05
22,Auburn Harvest (Sweet Potato Pie Latte) (16oz iced),Auburn Harvest,(Sweet Potato Pie Latte) (16oz iced),16oz,16,iced,#0022#,6.3
23,Auburn Harvest (Sweet Potato Pie Latte) (8oz hot),Auburn Harvest,(Sweet Potato Pie Latte) (8oz hot),8oz,8,hot,#0023#,4.8
24,BURMA | Hornbill Chin,BURMA | Hornbill Chin,,,,,#0024#,22.0
25,BURMA | Hornbill Chin (Regular),BURMA | Hornbill Chin,(Regular),,,,#0025#,22.0
26,Bao Zhong (Regular),Bao Zhong,(Regular),,,,#0026#,0.0
27,Batch Brew (12oz),Batch Brew,(12oz),12oz,12,,#0027#,3.0
28,Batch Brew (16oz),Batch Brew,(16oz),16oz,16,,#0028#,3.75
29,Batch Brew (8oz),Batch Brew,(8oz),8oz,8,,#0029#,2.5
30,Beach Bum (12oz ICED),Beach Bum,(12oz ICED),12oz,12,ICED,#0030#,0.0
31,Beach Bum (16oz ICED),Beach Bum,(16oz ICED),16oz,16,ICED,#0031#,5.5
32,Beanie (Regular),Beanie,(Regular),,,,#0032#,20.0
33,Black- China Breakfast (12oz HOT),Black- China Breakfast,(12oz HOT),12oz,12,HOT,#0033#,4.0
34,Black- China Breakfast (16oz HOT),Black- China Breakfast,(16oz HOT),16oz,16,HOT,#0034#,5.25
35,Black- China Breakfast (16oz ICED),Black- China Breakfast,(16oz ICED),16oz,16,ICED,#0035#,4.25
36,Black- Yunnan Purple Buds Garden Direct (12oz HOT),Black- Yunnan Purple Buds Garden Direct,(12oz HOT),12oz,12,HOT,#0036#,5.0
37,Botanical- Chamomile Medley (12oz HOT),Botanical- Chamomile Medley,(12oz HOT),12oz,12,HOT,#0037#,4.0
38,Botanical- Chamomile Medley (16oz HOT),Botanical- Chamomile Medley,(16oz HOT),16oz,16,HOT,#0038#,4.75
39,Botanical- Chamomile Medley (16oz ICED),Botanical- Chamomile Medley,(16oz ICED),16oz,16,ICED,#0039#,4.0
40,Botanical- Patagonia Superberry (12oz HOT),Botanical- Patagonia Superberry,(12oz HOT),12oz,12,HOT,#0040#,4.0
41,Botanical- Patagonia Superberry (16oz HOT),Botanical- Patagonia Superberry,(16oz HOT),16oz,16,HOT,#0041#,4.75
42,Botanical- Patagonia Superberry (16oz ICED),Botanical- Patagonia Superberry,(16oz ICED),16oz,16,ICED,#0042#,4.0
43,Botanical- Rooibos (12oz HOT),Botanical- Rooibos,(12oz HOT),12oz,12,HOT,#0043#,4.0
44,Botanical- Rooibos (16oz HOT),Botanical- Rooibos,(16oz HOT),16oz,16,HOT,#0044#,4.75
45,Botanical- Rooibos (16oz ICED),Botanical- Rooibos,(16oz ICED),16oz,16,ICED,#0045#,4.0
46,Brownie (Regular),Brownie,(Regular),,,,#0046#,4.75
47,Burma | Hornbill Chin (Regular),Burma | Hornbill Chin,(Regular),,,,#0047#,22.0
48,Butter / Plain Croissant (Regular Price),Butter / Plain Croissant,(Regular Price),,,,#0048#,3.5
49,CHERRY Almond Cold Brew (12OZ),CHERRY Almond Cold Brew,(12OZ),12OZ,12,,#0049#,5.0
50,CHERRY Almond Cold Brew (16OZ),CHERRY Almond Cold Brew,(16OZ),16OZ,16,,#0050#,5.5
51,COLOMBIA | Crucero,COLOMBIA | Crucero,,,,,#0051#,0.0
52,COLOMBIA | Crucero (Regular),COLOMBIA | Crucero,(Regular),,,,#0052#,21.0
53,COLOMBIA | LOS VENTENOS,COLOMBIA | LOS VENTENOS,,,,,#0053#,0.0
54,COLOMBIA | LOS VENTENOS (Regular),COLOMBIA | LOS VENTENOS,(Regular),,,,#0054#,20.0
55,COLOMBIA | Los Ventenos (Regular),COLOMBIA | Los Ventenos,(Regular),,,,#0055#,20.0
56,COSTA RICA | Santa Rosa,COSTA RICA | Santa Rosa,,,,,#0056#,22.0
57,COSTA RICA | Santa Rosa (Regular),COSTA RICA | Santa Rosa,(Regular),,,,#0057#,22.0
58,Cappuccino (Regular Cappuccino),Cappuccino,(Regular Cappuccino),,,,#0058#,3.8
59,Chai Latte (12oz HOT),Chai Latte,(12oz HOT),12oz,12,HOT,#0059#,4.7
60,Chai Latte (12oz ICED),Chai Latte,(12oz ICED),12oz,12,ICED,#0060#,4.2
61,Chai Latte (16oz HOT),Chai Latte,(16oz HOT),16oz,16,HOT,#0061#,5.45
62,Chai Latte (16oz ICED),Chai Latte,(16oz ICED),16oz,16,ICED,#0062#,4.7
63,Chai Latte (8oz HOT),Chai Latte,(8oz HOT),8oz,8,HOT,#0063#,4.2
64,Chamomile Medley (Regular),Chamomile Medley,(Regular),,,,#0064#,15.0
65,Cherry Almond Cold Brew (12OZ),Cherry Almond Cold Brew,(12OZ),12OZ,12,,#0065#,5.0
66,Cherry Almond Cold Brew (16OZ),Cherry Almond Cold Brew,(16OZ),16OZ,16,,#0066#,5.5
67,China Breakfast  (Regular),China Breakfast,(Regular),,,,#0067#,0.0
68,China Breakfast (Regular),China Breakfast,(Regular),,,,#0068#,15.0
69,Chocolate Croissant (Regular Price),Chocolate Croissant,(Regular Price),,,,#0069#,0.0
70,Chocolate Croissant (Regular),Chocolate Croissant,(Regular),,,,#0070#,4.5
71,Cocoa (large (16oz)),Cocoa,(large (16oz)),16oz,16,,#0071#,4.0
72,Cocoa (medium (12oz)),Cocoa,(medium (12oz)),12oz,12,,#0072#,3.5
73,Cocoa (small (8oz)),Cocoa,(small (8oz)),8oz,8,,#0073#,3.0
74,Colombia | Agua de Dios (Regular),Colombia | Agua de Dios,(Regular),,,,#0074#,18.0
75,Cookies (Regular),Cookies,(Regular),,,,#0075#,3.25
76,Cortado (Regular),Cortado,(Regular),,,,#0076#,3.6
77,Countryside Local Colorado Honey,Countryside Local Colorado Honey,,,,,#0077#,17.5
78,Creamy / Honey Mint Julep (12oz -- Honey Mint Julep),Creamy / Honey Mint Julep,(12oz -- Honey Mint Julep),12oz,12,,#0078#,0.0
79,Creamy / Honey Mint Julep (12oz-- Creamy Mint Julep),Creamy / Honey Mint Julep,(12oz-- Creamy Mint Julep),12oz,12,,#0079#,0.0
80,Creamy / Honey Mint Julep (16oz-- Creamy Mint Julep),Creamy / Honey Mint Julep,(16oz-- Creamy Mint Julep),16oz,16,,#0080#,5.75
81,Creamy / Honey Mint Julep (16oz-- Honey Mint Julep),Creamy / Honey Mint Julep,(16oz-- Honey Mint Julep),16oz,16,,#0081#,0.0
82,Custom Amount,Custom Amount,,,,,#0082#,1.0
83,DECAF | Colombia,DECAF | Colombia,,,,,#0083#,16.0
84,Danish (Regular),Danish,(Regular),,,,#0084#,5.0
85,Decaf | Colombia (Regular Price),Decaf | Colombia,(Regular Price),,,,#0085#,16.0
86,Double Filling Croissant  (Regular),Double Filling Croissant,(Regular),,,,#0086#,4.5
87,ELDERFLOWER Tonic (Regular),ELDERFLOWER Tonic,(Regular),,,,#0087#,5.5
88,ETHIOPIA | YIRGACHEFFE NATURAL,ETHIOPIA | YIRGACHEFFE NATURAL,,,,,#0088#,20.0
89,ETHIOPIA | YIRGACHEFFE WASHED,ETHIOPIA | YIRGACHEFFE WASHED,,,,,#0089#,35.46
90,Embroidered Cap (Regular),Embroidered Cap,(Regular),,,,#0090#,21.0
91,Embroidered Tee (Regular),Embroidered Tee,(Regular),,,,#0091#,23.0
92,Espresso (Regular),Espresso,(Regular),,,,#0092#,3.2
93,Espresso Tonic or Soda (Regular),Espresso Tonic or Soda,(Regular),,,,#0093#,4.75
94,Ethiopia | Yirgacheffe NATURAL (Regular),Ethiopia | Yirgacheffe NATURAL,(Regular),,,,#0094#,20.0
95,Ethiopia | Yirgacheffe WASHED (Regular),Ethiopia | Yirgacheffe WASHED,(Regular),,,,#0095#,20.0
96,Filled Croissant (Regular),Filled Croissant,(Regular),,,,#0096#,4.5
97,Firecracker (12oz ICED),Firecracker,(12oz ICED),12oz,12,ICED,#0097#,5.0
98,Firecracker (12oz),Firecracker,(12oz),12oz,12,,#0098#,5.0
99,Firecracker (16oz ICED),Firecracker,(16oz ICED),16oz,16,ICED,#0099#,5.5
100,Firecracker (16oz),Firecracker,(16oz),16oz,16,,#0100#,5.5
101,Fireside Eve (Butterscotch-Whiskey Latte) (12oz hot),Fireside Eve,(Butterscotch-Whiskey Latte) (12oz hot),12oz,12,hot,#0101#,5.3
102,Fireside Eve (Butterscotch-Whiskey Latte) (12oz iced),Fireside Eve,(Butterscotch-Whiskey Latte) (12oz iced),12oz,12,iced,#0102#,4.8
103,Fireside Eve (Butterscotch-Whiskey Latte) (16oz HOT ONLY),Fireside Eve,(Butterscotch-Whiskey Latte) (16oz HOT ONLY),16oz,16,HOT,#0103#,6.05
104,Fireside Eve (Butterscotch-Whiskey Latte) (16oz iced),Fireside Eve,(Butterscotch-Whiskey Latte) (16oz iced),16oz,16,iced,#0104#,5.3
105,Fireside Eve (Butterscotch-Whiskey Latte) (8oz hot),Fireside Eve,(Butterscotch-Whiskey Latte) (8oz hot),8oz,8,hot,#0105#,4.8
106,Flat White,Flat White - Black,,,,,#0106#,29.0
107,Flat White (Regular),Flat White,(Regular),,,,#0107#,3.8
108,Frosty Peaks -- EARL GREY Cardamom Cream Soda (12oz),Frosty Peaks -- EARL GREY Cardamom Cream Soda,(12oz),12oz,12,,#0108#,0.0
109,Frosty Peaks -- EARL GREY Cardamom Cream Soda (16oz),Frosty Peaks -- EARL GREY Cardamom Cream Soda,(16oz),16oz,16,,#0109#,5.5
110,Frosty Peaks -- ESPRESSO Cardamom Cream Soda (12oz),Frosty Peaks -- ESPRESSO Cardamom Cream Soda,(12oz),12oz,12,,#0110#,5.0
111,Frosty Peaks -- ESPRESSO Cardamom Cream Soda (16oz),Frosty Peaks -- ESPRESSO Cardamom Cream Soda,(16oz),16oz,16,,#0111#,5.5
112,GESHA Monteverde Limited Release | Gutierrez Colombia,GESHA Monteverde Limited Release | Gutierrez Colombia,,,,,#0112#,39.0
113,GESHA | Monteverde (Regular),GESHA | Monteverde,(Regular),,,,#0113#,39.0
114,GRAPEFRUIT Rosemary Cold Brew (12OZ),GRAPEFRUIT Rosemary Cold Brew,(12OZ),12OZ,12,,#0114#,5.0
115,GRAPEFRUIT Rosemary Cold Brew (16OZ),GRAPEFRUIT Rosemary Cold Brew,(16OZ),16OZ,16,,#0115#,5.5
116,GREEN GESHA | Colombia Limited Release,GREEN GESHA | Colombia Limited Release,,,,,#0116#,43.88
117,GUATEMALA | Finca La Union,GUATEMALA | Finca La Union,,,,,#0117#,19.35
118,GUATEMALA | Pachup,GUATEMALA | Pachup,,,,,#0118#,18.0
119,GUATEMALA | Pachup (Regular),GUATEMALA | Pachup,(Regular),,,,#0119#,19.0
120,Gesha Limited Release (Regular),Gesha Limited Release,(Regular),,,,#0120#,39.0
121,Gesha | Colombia (Regular),Gesha | Colombia,(Regular),,,,#0121#,39.0
122,Gift Card,Gift Card,,,,,#0122#,0.0
123,Golden Coast (12oz ICED),Golden Coast,(12oz ICED),12oz,12,ICED,#0123#,5.0
124,Golden Coast (16oz ICED),Golden Coast,(16oz ICED),16oz,16,ICED,#0124#,5.5
125,Golden Coast (16oz cold),Golden Coast,(16oz cold),16oz,16,,#0125#,5.5
126,Grapefruit Rosemary Cold Brew (12OZ),Grapefruit Rosemary Cold Brew,(12OZ),12OZ,12,,#0126#,5.0
127,Grapefruit Rosemary Cold Brew (16OZ),Grapefruit Rosemary Cold Brew,(16OZ),16OZ,16,,#0127#,5.5
128,Green- Houjicha (12oz HOT),Green- Houjicha,(12oz HOT),12oz,12,HOT,#0128#,4.0
129,Green- Houjicha (16oz HOT),Green- Houjicha,(16oz HOT),16oz,16,HOT,#0129#,4.75
130,Green- Houjicha (16oz ICED),Green- Houjicha,(16oz ICED),16oz,16,ICED,#0130#,4.0
131,Green- Moonlight Jasmine (12oz HOT),Green- Moonlight Jasmine,(12oz HOT),12oz,12,HOT,#0131#,5.0
132,Green- Moonlight Jasmine (16oz HOT),Green- Moonlight Jasmine,(16oz HOT),16oz,16,HOT,#0132#,5.75
133,Green- Moonlight Jasmine (16oz ICED),Green- Moonlight Jasmine,(16oz ICED),16oz,16,ICED,#0133#,5.0
134,Green- Sencha Superior (12oz HOT),Green- Sencha Superior,(12oz HOT),12oz,12,HOT,#0134#,5.0
135,Green- Sencha Superior (16OZ HOT),Green- Sencha Superior,(16OZ HOT),16OZ,16,HOT,#0135#,5.75
136,Green- Sencha Superior (16OZ ICED),Green- Sencha Superior,(16OZ ICED),16OZ,16,ICED,#0136#,5.0
137,Guatemala | Finca La Union (Regular),Guatemala | Finca La Union,(Regular),,,,#0137#,18.0
138,Guatemala | Pachup (Regular),Guatemala | Pachup,(Regular),,,,#0138#,18.0
139,Guatemala | Quisache (Regular),Guatemala | Quisache,(Regular),,,,#0139#,18.0
140,HONDURAS | Finca Los Olivos,HONDURAS | Finca Los Olivos,,,,,#0140#,23.0
141,Hand Brew (Costa Rica),Hand Brew,(Costa Rica),,,,#0141#,4.0
142,Hand Brew (Current Selection),Hand Brew,(Current Selection),,,,#0142#,5.0
143,Hand Brew (Ethiopia Natural | Yirgacheffe),Hand Brew,(Ethiopia Natural | Yirgacheffe),,,,#0143#,4.0
144,Hand Brew (Ethiopia Washed | Yirgacheffe),Hand Brew,(Ethiopia Washed | Yirgacheffe),,,,#0144#,4.0
145,Hand Brew (Gesha Reserve),Hand Brew,(Gesha Reserve),,,,#0145#,6.0
146,Hand Brew (Green Gesha),Hand Brew,(Green Gesha),,,,#0146#,4.0
147,Hand Brew (Honduras Natural | Finca Los Olivos),Hand Brew,(Honduras Natural | Finca Los Olivos),,,,#0147#,4.0
148,Hand Brew (Kenya | Gititu AA),Hand Brew,(Kenya | Gititu AA),,,,#0148#,4.0
149,Honduras | Finca Los Olivos (Regular),Honduras | Finca Los Olivos,(Regular),,,,#0149#,20.0
150,Honey Pistachio Cold Brew (12OZ),Honey Pistachio Cold Brew,(12OZ),12OZ,12,,#0150#,5.0
151,Honey Pistachio Cold Brew (16OZ),Honey Pistachio Cold Brew,(16OZ),16OZ,16,,#0151#,5.5
152,Housemade Soda (12oz),Housemade Soda,(12oz),12oz,12,,#0152#,0.0
153,Housemade Soda (16oz iced),Housemade Soda,(16oz iced),16oz,16,iced,#0153#,4.5
154,Housemade Soda (One Size (one can)),Housemade Soda,(One Size (one can)),,,,#0154#,4.0
155,Hydro Flask (16oz) (Regular Price),Hydro Flask,(16oz) (Regular Price),16oz,16,,#0155#,29.0
156,KENYA | Muthuuzuni (Regular),KENYA | Muthuuzuni,(Regular),,,,#0156#,23.0
157,KENYA | Muthuuzuni AB,KENYA | Muthuuzuni AB,,,,,#0157#,0.0
158,KIWI Matcha (12OZ),KIWI Matcha,(12OZ),12OZ,12,,#0158#,5.0
159,KIWI Matcha (16OZ),KIWI Matcha,(16OZ),16OZ,16,,#0159#,5.5
160,Kenya | Gititu AA (Regular),Kenya | Gititu AA,(Regular),,,,#0160#,21.0
161,Key Lime Latte (12oz HOT),Key Lime Latte,(12oz HOT),12oz,12,HOT,#0161#,6.0
162,Key Lime Latte (12oz ICED),Key Lime Latte,(12oz ICED),12oz,12,ICED,#0162#,5.12
163,Key Lime Latte (16oz HOT (quad shot)),Key Lime Latte,(16oz HOT (quad shot)),16oz,16,HOT,#0163#,6.0
164,Key Lime Latte (16oz ICED),Key Lime Latte,(16oz ICED),16oz,16,ICED,#0164#,6.25
165,Key Lime Latte (8oz HOT),Key Lime Latte,(8oz HOT),8oz,8,HOT,#0165#,4.75
166,Kombucha (12oz),Kombucha,(12oz),12oz,12,,#0166#,4.5
167,Kombucha (16oz),Kombucha,(16oz),16oz,16,,#0167#,5.0
168,Kombucha (32oz Growler),Kombucha,(32oz Growler),32oz,32,,#0168#,14.0
169,Kombucha (Growler Refill),Kombucha,(Growler Refill),,,,#0169#,10.0
170,LEMON Poppyseed Matcha Latte (12oz HOT),LEMON Poppyseed Matcha Latte,(12oz HOT),12oz,12,HOT,#0170#,6.25
171,LEMON Poppyseed Matcha Latte (12oz ICED),LEMON Poppyseed Matcha Latte,(12oz ICED),12oz,12,ICED,#0171#,5.0
172,LEMON Poppyseed Matcha Latte (16oz HOT),LEMON Poppyseed Matcha Latte,(16oz HOT),16oz,16,HOT,#0172#,6.75
173,LEMON Poppyseed Matcha Latte (16oz ICED),LEMON Poppyseed Matcha Latte,(16oz ICED),16oz,16,ICED,#0173#,6.5
174,LEMON Poppyseed Matcha Latte (8oz HOT),LEMON Poppyseed Matcha Latte,(8oz HOT),8oz,8,HOT,#0174#,5.0
175,LIME Latte (12oz HOT),LIME Latte,(12oz HOT),12oz,12,HOT,#0175#,5.3
176,LIME Latte (12oz ICED),LIME Latte,(12oz ICED),12oz,12,ICED,#0176#,4.8
177,LIME Latte (16oz HOT (quad shot)),LIME Latte,(16oz HOT (quad shot)),16oz,16,HOT,#0177#,6.05
178,LIME Latte (16oz ICED),LIME Latte,(16oz ICED),16oz,16,ICED,#0178#,5.3
179,LIME Latte (8oz HOT),LIME Latte,(8oz HOT),8oz,8,HOT,#0179#,4.8
180,Latte (12oz HOT),Latte,(12oz HOT),12oz,12,HOT,#0180#,4.2
181,Latte (12oz ICED),Latte,(12oz ICED),12oz,12,ICED,#0181#,4.3
182,Latte (16oz HOT (quad shot)),Latte,(16oz HOT (quad shot)),16oz,16,HOT,#0182#,4.95
183,Latte (16oz HOT),Latte,(16oz HOT),16oz,16,HOT,#0183#,5.62
184,Latte (16oz ICED),Latte,(16oz ICED),16oz,16,ICED,#0184#,4.7
185,Latte (8oz HOT),Latte,(8oz HOT),8oz,8,HOT,#0185#,4.3
186,Lemonade- Flavored (Large- 16oz),Lemonade- Flavored,(Large- 16oz),16oz,16,,#0186#,4.5
187,Lemonade- Flavored (Med- 12oz),Lemonade- Flavored,(Med- 12oz),12oz,12,,#0187#,4.0
188,Lemonades (Large- 16oz),Lemonades,(Large- 16oz),16oz,16,,#0188#,4.5
189,Lemonades (Med- 12oz),Lemonades,(Med- 12oz),12oz,12,,#0189#,4.0
190,Maple Woods (Spiced Maple Cold Brew) (12oz),Maple Woods,(Spiced Maple Cold Brew) (12oz),12oz,12,,#0190#,5.0
191,Maple Woods (Spiced Maple Cold Brew) (16oz),Maple Woods,(Spiced Maple Cold Brew) (16oz),16oz,16,,#0191#,5.5
192,Masks (Regular Mask),Masks,(Regular Mask),,,,#0192#,20.0
193,Masks (burberry mask),Masks,(burberry mask),,,,#0193#,30.0
194,Matcha Latte (12oz HOT),Matcha Latte,(12oz HOT),12oz,12,HOT,#0194#,5.45
195,Matcha Latte (12oz ICED),Matcha Latte,(12oz ICED),12oz,12,ICED,#0195#,4.95
196,Matcha Latte (16oz HOT),Matcha Latte,(16oz HOT),16oz,16,HOT,#0196#,6.45
197,Matcha Latte (16oz ICED),Matcha Latte,(16oz ICED),16oz,16,ICED,#0197#,5.7
198,Matcha Latte (8oz HOT),Matcha Latte,(8oz HOT),8oz,8,HOT,#0198#,4.7
199,Matcha Mango Mojito (12oz ICED),Matcha Mango Mojito,(12oz ICED),12oz,12,ICED,#0199#,5.0
